code
o18l36l5
o18l36l5r4
o18l36l5
o18l36l5r4
o29
o29o29o29o29o29o29o29o29o29o29o29o29o29
o29
o18l36l5r4
o2l9l47
o16l25
o3l10
o28d25
o39r4
o7d11
o7r8r20
o45d14
o47d29
o10r11
o42r21r9
o30r9
o29l36l18l49l8l5l6
o9r29
o25l6r16d17l40
o32r4
o28d25
o6d4
o5d1
o11d17
o3d0
o41r20
o1d11
o11d17
o20d9
o38d7
o43d2
o32d37l24r18
o23r11d17l40d33
o29l36
o2r8
o31r49d1
o48d24
o30r9
o12r19
o16d17r38r8r7
o2d9
o46d11
o8d7
o5r49r42
o25r28d12r19
o1l4r39r24r18
o18r14
o16r6l47
o4d12
o22l8
o35r33
o29l36
o0l8r7d11l39d24r18l36r34d23r26l47r43d2l9r29l5d1l4r32d37l13l6r16d17l40r45d14l10r12d33l27r20d25l49l42d28r19d44l48r21d41d3l15r46l30d31r38l35r22
o9l47l13l24l48l35
o13
o5r49
o21r9
o15d31
o22d9l47
o1d11l39d24r18
o32d37r44
o19d40
o41r20
o40r45
o45d14d20
o14r18
o37d36r34
o11l39d24r18d1r13l47r43
o10r11r13
o34d11r13
o25l6r16l23d12l47r43l39
o32r4d12l47l13l24r18
o41l4d12r19d40l47d29r9r44
o8r7
o23d12d4l9d44r43r47d29l36r34d11l39l10l3l7l19l40l17l6l25
o41d25
o21r9
o3l10l7l39l43d2l9d44r29d47d31d17l40l6l25d28d12d23r11l4d37d36d5d1l13d30l32d33l24d27d20l48r8
o45d14
o7
o14r18
o46d11
o44d9
o46r8
o36r34d11l39
o22d9r29r44r43r47r21r42r49d1
o29d47
o44d9r29l36r34d11
o8d7l10d18r14
o43l39d24r18l36
o3d0
o39r4
o7r8r20
o29l36l18l49l8l5l6
o5r49r42
o1l4r39r24r18
o35d16u35r33
o29l36
o0l8r7d11l39d24r18l36r34d23r26l47r43d2l9r29l5d1l4r32d37l13l6r16d17l40r45d14l10r12d33l27r20d25l49l42d28r19d44l48r21d41d3l15r46l30d31r38l35r22
o9l47l13l24l48l35
o13d11u13
o5r49
o21r9
o15d31
o22r20u22d9l47
o1d11l39d24r18
o32d37r44
o19d40
o41r20
o40r45
o45d14d20
o14r18
o37d36r34
o11l39d24r18d1r13l47r43
o10r11r13
o34d11r13
o25l6r16l23d12l47r43l39
o32r4d12l47l13l24r18
o41l4d12r19d40l47d29r9r44
o8r7
o23d12d4l9d44r43r47d29l36r34d11l39l10l3l7l19l40l17l6l25
o41d25
o21r9
o3l10l7l39l43d2l9d44r29d47d31d17l40l6l25d28d12d23r11l4d37d36d5d1l13d30l32d33l24d27d20l48r8
o45d14
o7l10u7
o14r18
o46d11r13u11
o44d9
o46r8
o36r34d11l39
o22r20r8u20u22d9r29r44r43r47r21r42r49d1
o29d47
o44d9r29l36r34d11
o8d7l10d18r14
o43l39d24r18l36
o3d0
o42l5r49d1
o35r33l9
o43r47d29d30
o33l9r29d47l13
o37l24d39
o12r19
o10l3r0
o10r11r13r1r34r21
o16r6l47u6u16
o34r1d11l39d24
o10r11
o31l27
o46d11r13
o43l39l10l3r0l8
o35l18l36l5l8r7r20l23l44r9
o34d11
o27l43r47l13r11l39l10r12l40
o8d7r20
o22l8
o18l36
